Plant Name,Scientific Name,Forest Type,Peak Season,Height (m),Famous Forest,Soil Type,Land Area Found,City,Region,Unique Fact,Endemic to India,Conservation Status,Medicinal Use,Season,Most Active Time
Banyan,Ficus benghalensis,Deciduous Forest,Spring,30,Kaziranga,Sandy,Plains,Bhopal,Central India,Host to diverse epiphytes,No,Least Concern,No,Monsoon,Day
Coconut,Cocos nucifera,Montane Forest,Winter,12,Himalayan Forests,Red,Plains,Chennai,South India,Used in shipbuilding,Yes,Least Concern,Yes,Spring,Night
Banyan,Ficus benghalensis,Montane Forest,Monsoon,30,Sundarbans,Sandy,Plains,Guwahati,Northeast India,Host to diverse epiphytes,Yes,Critically Endangered,Yes,Spring,Day
Jamun,Syzygium cumini,Montane Forest,Winter,22,Western Ghats,Black,Hills,Bhopal,Central India,National tree of India,No,Critically Endangered,Yes,Autumn,Day
Banyan,Ficus benghalensis,Montane Forest,Monsoon,30,Sundarbans,Red,Wetlands,Mumbai,West India,Host to diverse epiphytes,No,Least Concern,No,Autumn,Both
Sal,Shorea robusta,Tropical Rainforest,Winter,40,Himalayan Forests,Laterite,Plains,Hyderabad,South India,Source of sandalwood oil,Yes,Least Concern,No,Summer,Both
Sal,Shorea robusta,Dry Thorn Forest,Spring,40,Himalayan Forests,Alluvial,Coastal Areas,Mumbai,West India,Source of sandalwood oil,No,Least Concern,Yes,Spring,Day
Rosewood,Dalbergia latifolia,Montane Forest,Summer,15,Himalayan Forests,Sandy,Coastal Areas,Shimla,North India,Important timber species,Yes,Near Threatened,Yes,Monsoon,Night
Mango,Mangifera indica,Deciduous Forest,Summer,18,Sundarbans,Red,Plains,Bangalore,South India,Attracts fruit bats,No,Least Concern,No,Winter,Night
Mango,Mangifera indica,Montane Forest,Spring,18,Western Ghats,Alluvial,Riverbanks,Bhopal,Central India,Attracts fruit bats,Yes,Least Concern,Yes,Spring,Night
Peepal,Ficus religiosa,Dry Thorn Forest,Autumn,25,Jim Corbett National Park,Black,Riverbanks,Kolkata,East India,Sacred in Hinduism,Yes,Least Concern,No,Winter,Both
Mango,Mangifera indica,Deciduous Forest,Winter,18,Western Ghats,Alluvial,Plains,Kolkata,East India,Attracts fruit bats,No,Least Concern,No,Autumn,Night
Mango,Mangifera indica,Mangrove Forest,Spring,18,Kaziranga,Laterite,Coastal Areas,Hyderabad,South India,Attracts fruit bats,Yes,Least Concern,Yes,Summer,Night
Peepal,Ficus religiosa,Tropical Rainforest,Spring,25,Himalayan Forests,Sandy,Plains,Mumbai,West India,Sacred in Hinduism,No,Least Concern,Yes,Monsoon,Day
Banyan,Ficus benghalensis,Montane Forest,Monsoon,30,Western Ghats,Alluvial,Coastal Areas,Bhopal,Central India,Host to diverse epiphytes,Yes,Near Threatened,Yes,Summer,Both
Jamun,Syzygium cumini,Deciduous Forest,Monsoon,22,Himalayan Forests,Red,Hills,Mumbai,West India,National tree of India,No,Critically Endangered,Yes,Summer,Day
Mango,Mangifera indica,Montane Forest,Autumn,18,Kaziranga,Laterite,Riverbanks,Mumbai,West India,Attracts fruit bats,No,Least Concern,Yes,Spring,Day
Jamun,Syzygium cumini,Tropical Rainforest,Spring,22,Kaziranga,Laterite,Coastal Areas,Delhi,North India,National tree of India,Yes,Least Concern,No,Autumn,Day
Jamun,Syzygium cumini,Dry Thorn Forest,Monsoon,22,Sundarbans,Sandy,Hills,Chennai,South India,National tree of India,Yes,Near Threatened,No,Summer,Both
Mango,Mangifera indica,Montane Forest,Monsoon,18,Kaziranga,Laterite,Hills,Bangalore,South India,Attracts fruit bats,No,Critically Endangered,Yes,Summer,Both
Teak,Tectona grandis,Dry Thorn Forest,Spring,35,Himalayan Forests,Red,Hills,Kolkata,East India,High commercial value,No,Least Concern,No,Autumn,Day
Banyan,Ficus benghalensis,Mangrove Forest,Summer,30,Himalayan Forests,Black,Hills,Shimla,North India,Host to diverse epiphytes,Yes,Least Concern,Yes,Winter,Day
Rosewood,Dalbergia latifolia,Dry Thorn Forest,Monsoon,15,Kaziranga,Sandy,Plains,Chennai,South India,Important timber species,No,Least Concern,No,Monsoon,Both
Coconut,Cocos nucifera,Montane Forest,Summer,12,Western Ghats,Red,Hills,Delhi,North India,Used in shipbuilding,No,Least Concern,No,Summer,Day
Mango,Mangifera indica,Tropical Rainforest,Spring,18,Sundarbans,Red,Hills,Hyderabad,South India,Attracts fruit bats,Yes,Least Concern,No,Spring,Day
Mango,Mangifera indica,Montane Forest,Autumn,18,Western Ghats,Alluvial,Hills,Jaipur,West India,Attracts fruit bats,No,Least Concern,No,Autumn,Day
Banyan,Ficus benghalensis,Dry Thorn Forest,Winter,30,Western Ghats,Alluvial,Coastal Areas,Kolkata,East India,Host to diverse epiphytes,No,Least Concern,Yes,Spring,Both
Coconut,Cocos nucifera,Deciduous Forest,Summer,12,Himalayan Forests,Laterite,Plains,Bangalore,South India,Used in shipbuilding,Yes,Least Concern,No,Summer,Day
Rosewood,Dalbergia latifolia,Montane Forest,Monsoon,15,Jim Corbett National Park,Black,Plains,Bhopal,Central India,Important timber species,No,Near Threatened,No,Winter,Day
Neem,Azadirachta indica,Dry Thorn Forest,Spring,20,Kaziranga,Red,Riverbanks,Delhi,North India,Used in Ayurveda,Yes,Least Concern,No,Summer,Both
Banyan,Ficus benghalensis,Mangrove Forest,Winter,30,Kaziranga,Black,Hills,Chennai,South India,Host to diverse epiphytes,Yes,Critically Endangered,No,Winter,Night
Teak,Tectona grandis,Dry Thorn Forest,Winter,35,Western Ghats,Sandy,Wetlands,Hyderabad,South India,High commercial value,Yes,Least Concern,Yes,Monsoon,Both
Neem,Azadirachta indica,Dry Thorn Forest,Autumn,20,Kaziranga,Laterite,Riverbanks,Guwahati,Northeast India,Used in Ayurveda,No,Near Threatened,No,Autumn,Day
Neem,Azadirachta indica,Montane Forest,Winter,20,Sundarbans,Sandy,Hills,Mumbai,West India,Used in Ayurveda,No,Least Concern,No,Monsoon,Day
Peepal,Ficus religiosa,Montane Forest,Monsoon,25,Sundarbans,Sandy,Hills,Shimla,North India,Sacred in Hinduism,No,Critically Endangered,No,Spring,Night
Peepal,Ficus religiosa,Deciduous Forest,Summer,25,Himalayan Forests,Red,Plains,Hyderabad,South India,Sacred in Hinduism,Yes,Least Concern,No,Monsoon,Night
Jamun,Syzygium cumini,Deciduous Forest,Autumn,22,Himalayan Forests,Alluvial,Plains,Shimla,North India,National tree of India,Yes,Critically Endangered,Yes,Winter,Day
Neem,Azadirachta indica,Deciduous Forest,Spring,20,Sundarbans,Sandy,Wetlands,Shimla,North India,Used in Ayurveda,Yes,Near Threatened,No,Spring,Day
Jamun,Syzygium cumini,Montane Forest,Winter,22,Western Ghats,Black,Plains,Kolkata,East India,National tree of India,Yes,Least Concern,No,Winter,Both
Mango,Mangifera indica,Deciduous Forest,Monsoon,18,Jim Corbett National Park,Laterite,Riverbanks,Jaipur,West India,Attracts fruit bats,Yes,Least Concern,Yes,Monsoon,Both
Teak,Tectona grandis,Mangrove Forest,Summer,35,Himalayan Forests,Alluvial,Plains,Chennai,South India,High commercial value,No,Least Concern,No,Spring,Night
Peepal,Ficus religiosa,Dry Thorn Forest,Autumn,25,Sundarbans,Black,Wetlands,Kolkata,East India,Sacred in Hinduism,Yes,Least Concern,No,Winter,Both
Jamun,Syzygium cumini,Dry Thorn Forest,Monsoon,22,Himalayan Forests,Sandy,Coastal Areas,Mumbai,West India,National tree of India,Yes,Least Concern,Yes,Spring,Both
Rosewood,Dalbergia latifolia,Dry Thorn Forest,Spring,15,Jim Corbett National Park,Laterite,Plains,Shimla,North India,Important timber species,No,Least Concern,Yes,Winter,Day
Banyan,Ficus benghalensis,Mangrove Forest,Winter,30,Western Ghats,Laterite,Coastal Areas,Kolkata,East India,Host to diverse epiphytes,No,Least Concern,Yes,Summer,Both
Mango,Mangifera indica,Mangrove Forest,Autumn,18,Kaziranga,Alluvial,Coastal Areas,Guwahati,Northeast India,Attracts fruit bats,No,Near Threatened,Yes,Spring,Both
Mango,Mangifera indica,Dry Thorn Forest,Spring,18,Kaziranga,Black,Hills,Bangalore,South India,Attracts fruit bats,Yes,Critically Endangered,Yes,Monsoon,Day
Jamun,Syzygium cumini,Tropical Rainforest,Summer,22,Himalayan Forests,Alluvial,Wetlands,Hyderabad,South India,National tree of India,No,Least Concern,Yes,Summer,Both
Banyan,Ficus benghalensis,Mangrove Forest,Spring,30,Sundarbans,Red,Wetlands,Chennai,South India,Host to diverse epiphytes,No,Critically Endangered,No,Summer,Night
Banyan,Ficus benghalensis,Dry Thorn Forest,Winter,30,Sundarbans,Sandy,Coastal Areas,Guwahati,Northeast India,Host to diverse epiphytes,No,Critically Endangered,No,Winter,Both
Teak,Tectona grandis,Dry Thorn Forest,Spring,35,Jim Corbett National Park,Black,Coastal Areas,Shimla,North India,High commercial value,Yes,Near Threatened,Yes,Spring,Day
Rosewood,Dalbergia latifolia,Mangrove Forest,Spring,15,Kaziranga,Laterite,Riverbanks,Hyderabad,South India,Important timber species,Yes,Least Concern,No,Winter,Night
Mango,Mangifera indica,Tropical Rainforest,Monsoon,18,Himalayan Forests,Alluvial,Coastal Areas,Mumbai,West India,Attracts fruit bats,Yes,Near Threatened,No,Autumn,Both
Sandalwood,Santalum album,Deciduous Forest,Monsoon,10,Himalayan Forests,Black,Riverbanks,Bangalore,South India,Fire-resistant bark,Yes,Near Threatened,No,Winter,Night
Sal,Shorea robusta,Dry Thorn Forest,Winter,40,Jim Corbett National Park,Sandy,Wetlands,Bangalore,South India,Source of sandalwood oil,No,Least Concern,Yes,Winter,Both
Banyan,Ficus benghalensis,Tropical Rainforest,Summer,30,Western Ghats,Black,Hills,Delhi,North India,Host to diverse epiphytes,No,Least Concern,Yes,Summer,Night
Rosewood,Dalbergia latifolia,Montane Forest,Spring,15,Jim Corbett National Park,Red,Plains,Hyderabad,South India,Important timber species,No,Least Concern,No,Monsoon,Night
Coconut,Cocos nucifera,Deciduous Forest,Monsoon,12,Western Ghats,Red,Hills,Bangalore,South India,Used in shipbuilding,Yes,Near Threatened,No,Autumn,Both
Jamun,Syzygium cumini,Dry Thorn Forest,Winter,22,Sundarbans,Black,Coastal Areas,Jaipur,West India,National tree of India,Yes,Least Concern,Yes,Summer,Day
Banyan,Ficus benghalensis,Montane Forest,Monsoon,30,Jim Corbett National Park,Alluvial,Hills,Hyderabad,South India,Host to diverse epiphytes,Yes,Least Concern,Yes,Spring,Day
Coconut,Cocos nucifera,Mangrove Forest,Autumn,12,Jim Corbett National Park,Red,Plains,Bangalore,South India,Used in shipbuilding,No,Least Concern,Yes,Winter,Night
Teak,Tectona grandis,Montane Forest,Autumn,35,Kaziranga,Red,Hills,Jaipur,West India,High commercial value,Yes,Least Concern,Yes,Monsoon,Both
Sandalwood,Santalum album,Dry Thorn Forest,Monsoon,10,Kaziranga,Red,Riverbanks,Guwahati,Northeast India,Fire-resistant bark,No,Least Concern,No,Winter,Both
Sal,Shorea robusta,Montane Forest,Summer,40,Himalayan Forests,Alluvial,Hills,Bangalore,South India,Source of sandalwood oil,Yes,Critically Endangered,Yes,Summer,Night
Coconut,Cocos nucifera,Montane Forest,Monsoon,12,Kaziranga,Black,Riverbanks,Guwahati,Northeast India,Used in shipbuilding,Yes,Critically Endangered,No,Summer,Day
Neem,Azadirachta indica,Tropical Rainforest,Summer,20,Western Ghats,Alluvial,Plains,Delhi,North India,Used in Ayurveda,Yes,Least Concern,Yes,Monsoon,Both
Banyan,Ficus benghalensis,Mangrove Forest,Monsoon,30,Sundarbans,Red,Plains,Kolkata,East India,Host to diverse epiphytes,Yes,Critically Endangered,Yes,Winter,Day
Teak,Tectona grandis,Deciduous Forest,Spring,35,Jim Corbett National Park,Laterite,Hills,Bhopal,Central India,High commercial value,Yes,Near Threatened,No,Spring,Both
Neem,Azadirachta indica,Tropical Rainforest,Winter,20,Kaziranga,Black,Hills,Chennai,South India,Used in Ayurveda,Yes,Least Concern,No,Summer,Both
Sandalwood,Santalum album,Deciduous Forest,Spring,10,Himalayan Forests,Black,Plains,Bhopal,Central India,Fire-resistant bark,No,Least Concern,Yes,Winter,Day
Teak,Tectona grandis,Tropical Rainforest,Autumn,35,Sundarbans,Red,Riverbanks,Bhopal,Central India,High commercial value,No,Least Concern,Yes,Summer,Night
Mango,Mangifera indica,Tropical Rainforest,Summer,18,Jim Corbett National Park,Laterite,Coastal Areas,Jaipur,West India,Attracts fruit bats,No,Critically Endangered,Yes,Winter,Night
Peepal,Ficus religiosa,Montane Forest,Winter,25,Jim Corbett National Park,Red,Hills,Delhi,North India,Sacred in Hinduism,No,Least Concern,No,Summer,Both
Jamun,Syzygium cumini,Deciduous Forest,Spring,22,Western Ghats,Laterite,Hills,Hyderabad,South India,National tree of India,Yes,Least Concern,No,Summer,Day
Peepal,Ficus religiosa,Deciduous Forest,Summer,25,Sundarbans,Sandy,Plains,Bhopal,Central India,Sacred in Hinduism,No,Least Concern,Yes,Spring,Day
Jamun,Syzygium cumini,Montane Forest,Summer,22,Himalayan Forests,Alluvial,Coastal Areas,Jaipur,West India,National tree of India,Yes,Least Concern,Yes,Monsoon,Both
Teak,Tectona grandis,Dry Thorn Forest,Summer,35,Jim Corbett National Park,Sandy,Coastal Areas,Chennai,South India,High commercial value,Yes,Near Threatened,Yes,Autumn,Both
Coconut,Cocos nucifera,Deciduous Forest,Spring,12,Himalayan Forests,Alluvial,Hills,Hyderabad,South India,Used in shipbuilding,Yes,Near Threatened,No,Autumn,Both
Peepal,Ficus religiosa,Deciduous Forest,Autumn,25,Western Ghats,Alluvial,Riverbanks,Jaipur,West India,Sacred in Hinduism,Yes,Critically Endangered,Yes,Autumn,Both
Sandalwood,Santalum album,Mangrove Forest,Autumn,10,Western Ghats,Black,Coastal Areas,Chennai,South India,Fire-resistant bark,Yes,Critically Endangered,Yes,Spring,Night
Rosewood,Dalbergia latifolia,Tropical Rainforest,Autumn,15,Kaziranga,Black,Riverbanks,Bangalore,South India,Important timber species,No,Near Threatened,No,Winter,Night
Jamun,Syzygium cumini,Mangrove Forest,Spring,22,Himalayan Forests,Red,Hills,Shimla,North India,National tree of India,No,Least Concern,No,Summer,Both
Jamun,Syzygium cumini,Tropical Rainforest,Autumn,22,Himalayan Forests,Laterite,Plains,Bangalore,South India,National tree of India,No,Critically Endangered,No,Winter,Day
Neem,Azadirachta indica,Deciduous Forest,Autumn,20,Kaziranga,Red,Riverbanks,Chennai,South India,Used in Ayurveda,No,Critically Endangered,No,Summer,Day
Sandalwood,Santalum album,Montane Forest,Summer,10,Kaziranga,Alluvial,Riverbanks,Mumbai,West India,Fire-resistant bark,No,Least Concern,Yes,Spring,Night
Teak,Tectona grandis,Tropical Rainforest,Spring,35,Himalayan Forests,Laterite,Hills,Chennai,South India,High commercial value,Yes,Near Threatened,No,Winter,Day
Banyan,Ficus benghalensis,Montane Forest,Summer,30,Himalayan Forests,Red,Hills,Hyderabad,South India,Host to diverse epiphytes,No,Least Concern,No,Monsoon,Night
Mango,Mangifera indica,Mangrove Forest,Summer,18,Kaziranga,Black,Coastal Areas,Bhopal,Central India,Attracts fruit bats,No,Least Concern,No,Autumn,Night
Teak,Tectona grandis,Mangrove Forest,Winter,35,Kaziranga,Red,Hills,Hyderabad,South India,High commercial value,No,Critically Endangered,Yes,Autumn,Both
Rosewood,Dalbergia latifolia,Dry Thorn Forest,Winter,15,Kaziranga,Red,Coastal Areas,Jaipur,West India,Important timber species,Yes,Least Concern,No,Autumn,Both
Sal,Shorea robusta,Dry Thorn Forest,Autumn,40,Jim Corbett National Park,Alluvial,Hills,Jaipur,West India,Source of sandalwood oil,No,Least Concern,No,Summer,Night
Jamun,Syzygium cumini,Mangrove Forest,Monsoon,22,Himalayan Forests,Black,Wetlands,Hyderabad,South India,National tree of India,Yes,Near Threatened,No,Spring,Day
Teak,Tectona grandis,Deciduous Forest,Winter,35,Himalayan Forests,Alluvial,Coastal Areas,Guwahati,Northeast India,High commercial value,No,Near Threatened,No,Autumn,Night
Banyan,Ficus benghalensis,Tropical Rainforest,Winter,30,Sundarbans,Sandy,Riverbanks,Kolkata,East India,Host to diverse epiphytes,No,Least Concern,Yes,Summer,Day
Jamun,Syzygium cumini,Deciduous Forest,Winter,22,Himalayan Forests,Red,Hills,Delhi,North India,National tree of India,No,Least Concern,Yes,Monsoon,Night
Sal,Shorea robusta,Dry Thorn Forest,Summer,40,Kaziranga,Alluvial,Plains,Delhi,North India,Source of sandalwood oil,No,Least Concern,Yes,Autumn,Both
Teak,Tectona grandis,Montane Forest,Summer,35,Sundarbans,Laterite,Riverbanks,Hyderabad,South India,High commercial value,No,Near Threatened,No,Autumn,Both
Teak,Tectona grandis,Dry Thorn Forest,Summer,35,Kaziranga,Red,Hills,Kolkata,East India,High commercial value,No,Least Concern,No,Summer,Night
Jamun,Syzygium cumini,Montane Forest,Monsoon,22,Kaziranga,Black,Riverbanks,Chennai,South India,National tree of India,No,Least Concern,No,Monsoon,Day
Mango,Mangifera indica,Tropical Rainforest,Winter,18,Western Ghats,Laterite,Plains,Jaipur,West India,Attracts fruit bats,No,Least Concern,No,Winter,Night
Rosewood,Dalbergia latifolia,Mangrove Forest,Winter,15,Sundarbans,Red,Coastal Areas,Hyderabad,South India,Important timber species,No,Near Threatened,Yes,Autumn,Both
Peepal,Ficus religiosa,Montane Forest,Winter,25,Kaziranga,Laterite,Coastal Areas,Bangalore,South India,Sacred in Hinduism,Yes,Near Threatened,No,Autumn,Both
Neem,Azadirachta indica,Deciduous Forest,Monsoon,20,Sundarbans,Sandy,Wetlands,Jaipur,West India,Used in Ayurveda,No,Least Concern,No,Winter,Night
Peepal,Ficus religiosa,Montane Forest,Summer,25,Kaziranga,Laterite,Hills,Delhi,North India,Sacred in Hinduism,Yes,Critically Endangered,Yes,Spring,Both
Coconut,Cocos nucifera,Mangrove Forest,Autumn,12,Western Ghats,Red,Coastal Areas,Kolkata,East India,Used in shipbuilding,Yes,Critically Endangered,Yes,Summer,Day
Teak,Tectona grandis,Deciduous Forest,Spring,35,Western Ghats,Alluvial,Coastal Areas,Mumbai,West India,High commercial value,Yes,Critically Endangered,Yes,Autumn,Day
Rosewood,Dalbergia latifolia,Mangrove Forest,Autumn,15,Kaziranga,Red,Riverbanks,Guwahati,Northeast India,Important timber species,Yes,Near Threatened,No,Summer,Both
Peepal,Ficus religiosa,Montane Forest,Monsoon,25,Himalayan Forests,Laterite,Plains,Chennai,South India,Sacred in Hinduism,No,Least Concern,Yes,Autumn,Both
Mango,Mangifera indica,Mangrove Forest,Spring,18,Kaziranga,Red,Coastal Areas,Bangalore,South India,Attracts fruit bats,No,Least Concern,No,Spring,Day
Jamun,Syzygium cumini,Tropical Rainforest,Summer,22,Himalayan Forests,Red,Coastal Areas,Mumbai,West India,National tree of India,No,Least Concern,No,Summer,Both
Rosewood,Dalbergia latifolia,Tropical Rainforest,Autumn,15,Kaziranga,Laterite,Coastal Areas,Hyderabad,South India,Important timber species,No,Least Concern,Yes,Winter,Both
Mango,Mangifera indica,Mangrove Forest,Spring,18,Sundarbans,Alluvial,Hills,Hyderabad,South India,Attracts fruit bats,Yes,Least Concern,Yes,Summer,Day
Sandalwood,Santalum album,Montane Forest,Summer,10,Sundarbans,Black,Coastal Areas,Mumbai,West India,Fire-resistant bark,No,Least Concern,No,Monsoon,Night
Coconut,Cocos nucifera,Dry Thorn Forest,Monsoon,12,Kaziranga,Sandy,Plains,Hyderabad,South India,Used in shipbuilding,No,Least Concern,Yes,Autumn,Day
Neem,Azadirachta indica,Dry Thorn Forest,Summer,20,Himalayan Forests,Sandy,Coastal Areas,Shimla,North India,Used in Ayurveda,No,Critically Endangered,Yes,Autumn,Night
Sal,Shorea robusta,Deciduous Forest,Winter,40,Jim Corbett National Park,Black,Riverbanks,Bhopal,Central India,Source of sandalwood oil,No,Critically Endangered,No,Spring,Night
Jamun,Syzygium cumini,Deciduous Forest,Autumn,22,Western Ghats,Sandy,Wetlands,Chennai,South India,National tree of India,Yes,Least Concern,No,Winter,Both
Teak,Tectona grandis,Deciduous Forest,Winter,35,Kaziranga,Black,Coastal Areas,Mumbai,West India,High commercial value,Yes,Least Concern,Yes,Winter,Night
Coconut,Cocos nucifera,Mangrove Forest,Monsoon,12,Himalayan Forests,Alluvial,Hills,Guwahati,Northeast India,Used in shipbuilding,Yes,Near Threatened,Yes,Summer,Night
Banyan,Ficus benghalensis,Dry Thorn Forest,Spring,30,Himalayan Forests,Alluvial,Hills,Hyderabad,South India,Host to diverse epiphytes,No,Near Threatened,No,Monsoon,Night
Teak,Tectona grandis,Dry Thorn Forest,Autumn,35,Himalayan Forests,Sandy,Hills,Bhopal,Central India,High commercial value,Yes,Least Concern,No,Autumn,Both
Sal,Shorea robusta,Dry Thorn Forest,Autumn,40,Jim Corbett National Park,Laterite,Riverbanks,Mumbai,West India,Source of sandalwood oil,Yes,Least Concern,Yes,Winter,Night
Teak,Tectona grandis,Deciduous Forest,Monsoon,35,Western Ghats,Alluvial,Hills,Delhi,North India,High commercial value,No,Near Threatened,No,Autumn,Night
Coconut,Cocos nucifera,Montane Forest,Autumn,12,Jim Corbett National Park,Alluvial,Wetlands,Chennai,South India,Used in shipbuilding,No,Near Threatened,Yes,Summer,Night
Peepal,Ficus religiosa,Montane Forest,Monsoon,25,Kaziranga,Red,Hills,Bangalore,South India,Sacred in Hinduism,No,Critically Endangered,No,Autumn,Night
Teak,Tectona grandis,Mangrove Forest,Spring,35,Western Ghats,Red,Wetlands,Kolkata,East India,High commercial value,No,Least Concern,Yes,Spring,Night
Sandalwood,Santalum album,Montane Forest,Summer,10,Kaziranga,Sandy,Plains,Shimla,North India,Fire-resistant bark,No,Least Concern,Yes,Autumn,Both
Peepal,Ficus religiosa,Mangrove Forest,Autumn,25,Kaziranga,Black,Hills,Bhopal,Central India,Sacred in Hinduism,No,Least Concern,Yes,Summer,Night
Coconut,Cocos nucifera,Deciduous Forest,Winter,12,Himalayan Forests,Laterite,Riverbanks,Mumbai,West India,Used in shipbuilding,No,Least Concern,No,Monsoon,Day
Banyan,Ficus benghalensis,Dry Thorn Forest,Autumn,30,Sundarbans,Alluvial,Hills,Delhi,North India,Host to diverse epiphytes,Yes,Critically Endangered,No,Spring,Day
Mango,Mangifera indica,Tropical Rainforest,Autumn,18,Himalayan Forests,Sandy,Riverbanks,Delhi,North India,Attracts fruit bats,Yes,Least Concern,No,Winter,Night
Coconut,Cocos nucifera,Mangrove Forest,Spring,12,Western Ghats,Laterite,Coastal Areas,Delhi,North India,Used in shipbuilding,Yes,Least Concern,Yes,Winter,Both
Sandalwood,Santalum album,Tropical Rainforest,Monsoon,10,Western Ghats,Sandy,Wetlands,Guwahati,Northeast India,Fire-resistant bark,Yes,Least Concern,Yes,Monsoon,Both
Peepal,Ficus religiosa,Montane Forest,Autumn,25,Himalayan Forests,Black,Riverbanks,Shimla,North India,Sacred in Hinduism,Yes,Least Concern,Yes,Winter,Both
Sal,Shorea robusta,Deciduous Forest,Winter,40,Western Ghats,Alluvial,Hills,Mumbai,West India,Source of sandalwood oil,No,Near Threatened,No,Spring,Both
Banyan,Ficus benghalensis,Tropical Rainforest,Monsoon,30,Kaziranga,Sandy,Hills,Guwahati,Northeast India,Host to diverse epiphytes,Yes,Near Threatened,Yes,Spring,Night
Jamun,Syzygium cumini,Tropical Rainforest,Winter,22,Sundarbans,Black,Coastal Areas,Chennai,South India,National tree of India,Yes,Least Concern,Yes,Autumn,Night
Mango,Mangifera indica,Deciduous Forest,Winter,18,Western Ghats,Black,Riverbanks,Kolkata,East India,Attracts fruit bats,No,Least Concern,Yes,Monsoon,Day
Jamun,Syzygium cumini,Montane Forest,Monsoon,22,Sundarbans,Alluvial,Hills,Chennai,South India,National tree of India,No,Least Concern,Yes,Monsoon,Day
Peepal,Ficus religiosa,Dry Thorn Forest,Autumn,25,Kaziranga,Red,Wetlands,Kolkata,East India,Sacred in Hinduism,No,Least Concern,Yes,Summer,Day
Peepal,Ficus religiosa,Montane Forest,Winter,25,Jim Corbett National Park,Red,Wetlands,Bangalore,South India,Sacred in Hinduism,Yes,Near Threatened,No,Summer,Night
Neem,Azadirachta indica,Tropical Rainforest,Spring,20,Kaziranga,Sandy,Riverbanks,Kolkata,East India,Used in Ayurveda,No,Critically Endangered,Yes,Spring,Both
Sandalwood,Santalum album,Montane Forest,Autumn,10,Himalayan Forests,Laterite,Riverbanks,Jaipur,West India,Fire-resistant bark,No,Least Concern,No,Winter,Night
Neem,Azadirachta indica,Dry Thorn Forest,Monsoon,20,Kaziranga,Red,Plains,Jaipur,West India,Used in Ayurveda,No,Critically Endangered,Yes,Winter,Night
Teak,Tectona grandis,Tropical Rainforest,Winter,35,Jim Corbett National Park,Red,Plains,Jaipur,West India,High commercial value,No,Least Concern,No,Monsoon,Day
Banyan,Ficus benghalensis,Dry Thorn Forest,Monsoon,30,Himalayan Forests,Red,Hills,Shimla,North India,Host to diverse epiphytes,Yes,Least Concern,No,Summer,Day
Neem,Azadirachta indica,Mangrove Forest,Monsoon,20,Western Ghats,Laterite,Coastal Areas,Kolkata,East India,Used in Ayurveda,No,Critically Endangered,No,Monsoon,Night
Banyan,Ficus benghalensis,Deciduous Forest,Autumn,30,Sundarbans,Sandy,Wetlands,Chennai,South India,Host to diverse epiphytes,No,Least Concern,Yes,Spring,Day
Sandalwood,Santalum album,Tropical Rainforest,Summer,10,Sundarbans,Alluvial,Riverbanks,Jaipur,West India,Fire-resistant bark,No,Least Concern,No,Monsoon,Day
Sal,Shorea robusta,Mangrove Forest,Winter,40,Western Ghats,Red,Wetlands,Bangalore,South India,Source of sandalwood oil,No,Critically Endangered,No,Summer,Night
Teak,Tectona grandis,Mangrove Forest,Summer,35,Himalayan Forests,Alluvial,Hills,Hyderabad,South India,High commercial value,No,Near Threatened,Yes,Monsoon,Both
Neem,Azadirachta indica,Deciduous Forest,Summer,20,Jim Corbett National Park,Sandy,Riverbanks,Bangalore,South India,Used in Ayurveda,No,Near Threatened,No,Autumn,Day
Banyan,Ficus benghalensis,Montane Forest,Autumn,30,Himalayan Forests,Laterite,Riverbanks,Mumbai,West India,Host to diverse epiphytes,No,Least Concern,Yes,Autumn,Night
Neem,Azadirachta indica,Deciduous Forest,Monsoon,20,Kaziranga,Black,Riverbanks,Kolkata,East India,Used in Ayurveda,Yes,Least Concern,Yes,Monsoon,Night
Jamun,Syzygium cumini,Mangrove Forest,Monsoon,22,Jim Corbett National Park,Alluvial,Hills,Bhopal,Central India,National tree of India,Yes,Least Concern,Yes,Spring,Both
Neem,Azadirachta indica,Montane Forest,Spring,20,Himalayan Forests,Sandy,Hills,Kolkata,East India,Used in Ayurveda,No,Least Concern,Yes,Winter,Night
Rosewood,Dalbergia latifolia,Montane Forest,Summer,15,Sundarbans,Black,Wetlands,Kolkata,East India,Important timber species,No,Near Threatened,Yes,Monsoon,Night
Teak,Tectona grandis,Montane Forest,Summer,35,Kaziranga,Alluvial,Coastal Areas,Bangalore,South India,High commercial value,Yes,Critically Endangered,Yes,Monsoon,Day
Sandalwood,Santalum album,Mangrove Forest,Autumn,10,Jim Corbett National Park,Red,Hills,Mumbai,West India,Fire-resistant bark,No,Least Concern,Yes,Summer,Day
Banyan,Ficus benghalensis,Dry Thorn Forest,Winter,30,Himalayan Forests,Laterite,Coastal Areas,Guwahati,Northeast India,Host to diverse epiphytes,No,Least Concern,No,Summer,Day
Sal,Shorea robusta,Tropical Rainforest,Autumn,40,Kaziranga,Red,Coastal Areas,Shimla,North India,Source of sandalwood oil,No,Critically Endangered,No,Spring,Night
Neem,Azadirachta indica,Deciduous Forest,Autumn,20,Sundarbans,Red,Hills,Kolkata,East India,Used in Ayurveda,No,Least Concern,No,Winter,Both
