name,city,forest,Season,active,Famous Forest for It,Food,Preferred Shelter Type,Unique Fact,Endemic Status,Conservation Status
Sloth Bear,Nagpur,Deciduous Forest,monsoon,morning,Gir Forest,Insectivore,Water Bodies,Can leap over 20 feet in a single bound.,No,Near Threatened
King Cobra,Delhi,Himalayan Forest,monsoon,afternoon,Gir Forest,Herbivore,Dense Trees,"Can weigh up to 2,200 kg.",No,
Indian Elephant,Shimla,Himalayan Forest,summer,afternoon,Gir Forest,Insectivore,Water Bodies,Has a beautifully patterned shell for camouflage.,No,
Sloth Bear,Hyderabad,Thorn Forest,monsoon,night,Kaziranga National Park,Carnivore,Water Bodies,The only lion species found outside Africa.,No,Near Threatened
Blackbuck,Ranchi,Thorn Forest,summer,afternoon,Kaziranga National Park,Omnivore,Burrows,Has a beautifully patterned shell for camouflage.,No,Least Concern
Asiatic Lion,Kolkata,Thorn Forest,summer,afternoon,Gir Forest,Insectivore,Caves,Has a beautifully patterned shell for camouflage.,No,Critically Endangered
King Cobra,Bhopal,Mangrove,monsoon,night,Gir Forest,Carnivore,Water Bodies,Survives in extreme cold temperatures.,No,
Snow Leopard,Delhi,Deciduous Forest,winter,night,Hemis National Park,Insectivore,Grasslands,"Hunts in packs, similar to African wild dogs.",No,
King Cobra,Kolkata,Deciduous Forest,monsoon,night,Kaziranga National Park,Carnivore,Rocky Terrain,Can leap over 20 feet in a single bound.,No,
Indian Leopard,Dehradun,Himalayan Forest,summer,night,Kaziranga National Park,Herbivore,Rocky Terrain,Uses its long tongue to extract termites from nests.,No,Near Threatened
Indian Cobra,Jaipur,Himalayan Forest,winter,afternoon,Gir Forest,Insectivore,Grasslands,Its venom is neurotoxic and highly potent.,No,
Gaur,Jaipur,Thorn Forest,summer,night,Sundarbans,Herbivore,Rocky Terrain,Has the strongest bite force among big cats.,No,
Bengal Tiger,Ranchi,Deciduous Forest,summer,night,Nagarhole National Park,Insectivore,Grasslands,Can leap over 20 feet in a single bound.,No,
King Cobra,Nagpur,Thorn Forest,monsoon,night,Gir Forest,Omnivore,Caves,Uses its long tongue to extract termites from nests.,No,
Blackbuck,Shimla,Tropical Rainforest,winter,night,Hemis National Park,Herbivore,Burrows,One of the world's most elusive animals.,No,Least Concern
Golden Langur,Mumbai,Mangrove,winter,morning,Nagarhole National Park,Insectivore,Water Bodies,Can leap over 20 feet in a single bound.,No,
Bengal Tiger,Chennai,Tropical Rainforest,summer,night,Kanha National Park,Herbivore,Caves,Its venom is neurotoxic and highly potent.,No,
Blackbuck,Hyderabad,Himalayan Forest,monsoon,night,Ranthambore National Park,Carnivore,Burrows,"Hunts in packs, similar to African wild dogs.",No,Least Concern
Indian Leopard,Jaipur,Tropical Rainforest,summer,night,Sundarbans,Herbivore,Water Bodies,Has a beautifully patterned shell for camouflage.,No,Near Threatened
Indian Cobra,Bengaluru,Thorn Forest,winter,morning,Bandhavgarh National Park,Omnivore,Burrows,Uses its long tongue to extract termites from nests.,No,
Blackbuck,Delhi,Mangrove,monsoon,morning,Nagarhole National Park,Carnivore,Burrows,Has a beautifully patterned shell for camouflage.,No,Least Concern
Bengal Tiger,Delhi,Himalayan Forest,monsoon,night,Jim Corbett National Park,Carnivore,Burrows,Has the strongest bite force among big cats.,No,
Sloth Bear,Bhopal,Thorn Forest,summer,night,Periyar Wildlife Sanctuary,Herbivore,Water Bodies,Survives in extreme cold temperatures.,No,Near Threatened
King Cobra,Chennai,Himalayan Forest,monsoon,morning,Sundarbans,Insectivore,Grasslands,Survives in extreme cold temperatures.,No,
Asiatic Lion,Lucknow,Tropical Rainforest,monsoon,morning,Jim Corbett National Park,Herbivore,Grasslands,Can run at speeds of up to 80 km/h.,No,Critically Endangered
Bengal Tiger,Hyderabad,Deciduous Forest,summer,night,Kanha National Park,Carnivore,Grasslands,The longest venomous snake in the world.,No,
Snow Leopard,Kolkata,Deciduous Forest,winter,afternoon,Kanha National Park,Insectivore,Rocky Terrain,Survives in extreme cold temperatures.,No,
Indian Leopard,Nagpur,Himalayan Forest,monsoon,night,Ranthambore National Park,Carnivore,Caves,Has a beautifully patterned shell for camouflage.,No,Near Threatened
One-Horned Rhinoceros,Dehradun,Tropical Rainforest,winter,morning,Nagarhole National Park,Herbivore,Dense Trees,Has the strongest bite force among big cats.,No,Near Threatened
Snow Leopard,Bengaluru,Himalayan Forest,winter,morning,Gir Forest,Insectivore,Burrows,Largest species of wild cattle.,No,
Bengal Tiger,Dehradun,Mangrove,winter,night,Jim Corbett National Park,Omnivore,Rocky Terrain,"Hunts in packs, similar to African wild dogs.",No,
Indian Elephant,Chennai,Tropical Rainforest,winter,afternoon,Kaziranga National Park,Omnivore,Water Bodies,"Hunts in packs, similar to African wild dogs.",No,
King Cobra,Jaipur,Tropical Rainforest,monsoon,afternoon,Bandhavgarh National Park,Insectivore,Water Bodies,Its venom is neurotoxic and highly potent.,No,
Red Panda,Nagpur,Deciduous Forest,monsoon,afternoon,Hemis National Park,Omnivore,Grasslands,Its venom is neurotoxic and highly potent.,No,
Red Panda,Chennai,Deciduous Forest,summer,morning,Sundarbans,Insectivore,Dense Trees,Largest species of wild cattle.,No,
Red Panda,Dehradun,Deciduous Forest,monsoon,morning,Periyar Wildlife Sanctuary,Insectivore,Caves,"Can weigh up to 2,200 kg.",No,
Blackbuck,Pune,Tropical Rainforest,monsoon,afternoon,Bandhavgarh National Park,Omnivore,Water Bodies,Has the strongest bite force among big cats.,No,Least Concern
Snow Leopard,Ranchi,Deciduous Forest,monsoon,morning,Gir Forest,Omnivore,Dense Trees,Can leap over 20 feet in a single bound.,No,
Golden Langur,Nagpur,Mangrove,winter,afternoon,Nagarhole National Park,Insectivore,Burrows,Can communicate using low-frequency rumbles.,No,
Indian Wolf,Pune,Tropical Rainforest,summer,night,Periyar Wildlife Sanctuary,Omnivore,Grasslands,Recognizable by its golden fur.,No,
Golden Langur,Delhi,Himalayan Forest,monsoon,morning,Hemis National Park,Omnivore,Rocky Terrain,Survives in extreme cold temperatures.,No,
One-Horned Rhinoceros,Nagpur,Thorn Forest,monsoon,night,Sundarbans,Herbivore,Rocky Terrain,The only lion species found outside Africa.,No,Near Threatened
Gaur,Hyderabad,Deciduous Forest,summer,night,Gir Forest,Herbivore,Dense Trees,Has the strongest bite force among big cats.,No,
King Cobra,Bengaluru,Himalayan Forest,monsoon,morning,Bandhavgarh National Park,Herbivore,Burrows,The only lion species found outside Africa.,No,
Bengal Tiger,Pune,Deciduous Forest,winter,night,Nagarhole National Park,Herbivore,Burrows,"Can weigh up to 2,200 kg.",No,
Golden Langur,Shimla,Mangrove,summer,afternoon,Ranthambore National Park,Carnivore,Grasslands,Can communicate using low-frequency rumbles.,No,
Bengal Tiger,Lucknow,Thorn Forest,summer,night,Gir Forest,Herbivore,Water Bodies,The longest venomous snake in the world.,No,
Golden Langur,Hyderabad,Tropical Rainforest,winter,afternoon,Nagarhole National Park,Carnivore,Water Bodies,Recognizable by its golden fur.,No,
Golden Langur,Shimla,Himalayan Forest,winter,morning,Sundarbans,Carnivore,Burrows,Survives in extreme cold temperatures.,No,
Asiatic Lion,Bhopal,Mangrove,winter,morning,Periyar Wildlife Sanctuary,Insectivore,Burrows,Uses its long tongue to extract termites from nests.,No,Critically Endangered
Indian Elephant,Pune,Himalayan Forest,summer,night,Jim Corbett National Park,Omnivore,Burrows,Has a beautifully patterned shell for camouflage.,No,
Indian Wolf,Pune,Deciduous Forest,monsoon,night,Nagarhole National Park,Carnivore,Rocky Terrain,Uses its long tongue to extract termites from nests.,No,
Gaur,Delhi,Mangrove,monsoon,morning,Periyar Wildlife Sanctuary,Herbivore,Caves,Can run at speeds of up to 80 km/h.,No,
One-Horned Rhinoceros,Bengaluru,Mangrove,monsoon,morning,Hemis National Park,Insectivore,Burrows,One of the world's most elusive animals.,No,Near Threatened
Bengal Tiger,Jaipur,Thorn Forest,monsoon,night,Nagarhole National Park,Omnivore,Rocky Terrain,Survives in extreme cold temperatures.,No,
Snow Leopard,Pune,Mangrove,monsoon,morning,Hemis National Park,Carnivore,Water Bodies,Has a beautifully patterned shell for camouflage.,No,
King Cobra,Pune,Mangrove,winter,morning,Gir Forest,Herbivore,Water Bodies,The only lion species found outside Africa.,No,
Indian Cobra,Kolkata,Deciduous Forest,winter,morning,Gir Forest,Carnivore,Caves,Its venom is neurotoxic and highly potent.,No,
King Cobra,Hyderabad,Thorn Forest,monsoon,night,Kanha National Park,Insectivore,Grasslands,Its venom is neurotoxic and highly potent.,No,
Blackbuck,Jaipur,Deciduous Forest,monsoon,afternoon,Kanha National Park,Carnivore,Caves,The longest venomous snake in the world.,No,Least Concern
Indian Elephant,Mumbai,Mangrove,monsoon,afternoon,Nagarhole National Park,Herbivore,Grasslands,Can communicate using low-frequency rumbles.,No,
Indian Elephant,Mumbai,Himalayan Forest,winter,night,Nagarhole National Park,Carnivore,Rocky Terrain,Its venom is neurotoxic and highly potent.,No,
Indian Cobra,Delhi,Himalayan Forest,monsoon,morning,Kanha National Park,Carnivore,Burrows,Largest species of wild cattle.,No,
Snow Leopard,Chennai,Tropical Rainforest,monsoon,night,Kanha National Park,Herbivore,Caves,The only lion species found outside Africa.,No,
Asiatic Lion,Shimla,Deciduous Forest,summer,night,Nagarhole National Park,Insectivore,Caves,Has the strongest bite force among big cats.,No,Critically Endangered
One-Horned Rhinoceros,Guwahati,Tropical Rainforest,monsoon,morning,Gir Forest,Herbivore,Rocky Terrain,Its venom is neurotoxic and highly potent.,No,Near Threatened
Indian Wolf,Lucknow,Himalayan Forest,winter,morning,Bandhavgarh National Park,Herbivore,Caves,Largest species of wild cattle.,No,
Golden Langur,Jaipur,Himalayan Forest,monsoon,night,Jim Corbett National Park,Omnivore,Caves,"Can weigh up to 2,200 kg.",No,
Indian Cobra,Kolkata,Deciduous Forest,winter,night,Hemis National Park,Insectivore,Grasslands,Uses its long tongue to extract termites from nests.,No,
Indian Elephant,Dehradun,Thorn Forest,winter,night,Ranthambore National Park,Insectivore,Rocky Terrain,Its venom is neurotoxic and highly potent.,No,
Blackbuck,Lucknow,Tropical Rainforest,monsoon,afternoon,Hemis National Park,Omnivore,Water Bodies,Can run at speeds of up to 80 km/h.,No,Least Concern
Bengal Tiger,Guwahati,Himalayan Forest,winter,night,Hemis National Park,Carnivore,Caves,Can communicate using low-frequency rumbles.,No,
Indian Star Tortoise,Bengaluru,Deciduous Forest,monsoon,morning,Kanha National Park,Insectivore,Grasslands,"Hunts in packs, similar to African wild dogs.",No,
Bengal Tiger,Hyderabad,Thorn Forest,monsoon,night,Gir Forest,Carnivore,Burrows,The only lion species found outside Africa.,No,
Asiatic Lion,Jaipur,Tropical Rainforest,summer,afternoon,Jim Corbett National Park,Insectivore,Burrows,Its venom is neurotoxic and highly potent.,No,Critically Endangered
Indian Elephant,Shimla,Deciduous Forest,monsoon,night,Bandhavgarh National Park,Herbivore,Rocky Terrain,Largest species of wild cattle.,No,
Indian Wolf,Mumbai,Tropical Rainforest,monsoon,afternoon,Hemis National Park,Carnivore,Dense Trees,"Can weigh up to 2,200 kg.",No,
Asiatic Lion,Bengaluru,Mangrove,monsoon,afternoon,Periyar Wildlife Sanctuary,Carnivore,Rocky Terrain,Survives in extreme cold temperatures.,No,Critically Endangered
Indian Star Tortoise,Guwahati,Tropical Rainforest,monsoon,morning,Ranthambore National Park,Carnivore,Dense Trees,"Can weigh up to 2,200 kg.",No,
Gaur,Pune,Deciduous Forest,monsoon,night,Kaziranga National Park,Carnivore,Water Bodies,Has a beautifully patterned shell for camouflage.,No,
Indian Elephant,Guwahati,Mangrove,winter,night,Periyar Wildlife Sanctuary,Omnivore,Rocky Terrain,One of the world's most elusive animals.,No,
Indian Cobra,Mumbai,Mangrove,monsoon,night,Ranthambore National Park,Omnivore,Caves,Can leap over 20 feet in a single bound.,No,
Snow Leopard,Bhopal,Tropical Rainforest,summer,night,Ranthambore National Park,Carnivore,Grasslands,Can communicate using low-frequency rumbles.,No,
Red Panda,Dehradun,Deciduous Forest,monsoon,morning,Sundarbans,Carnivore,Water Bodies,The longest venomous snake in the world.,No,
Indian Wolf,Dehradun,Mangrove,summer,morning,Kaziranga National Park,Omnivore,Caves,"Hunts in packs, similar to African wild dogs.",No,
Indian Star Tortoise,Nagpur,Thorn Forest,summer,night,Jim Corbett National Park,Herbivore,Caves,"Hunts in packs, similar to African wild dogs.",No,
King Cobra,Bengaluru,Tropical Rainforest,monsoon,night,Sundarbans,Carnivore,Rocky Terrain,One of the world's most elusive animals.,No,
Red Panda,Jaipur,Himalayan Forest,monsoon,night,Periyar Wildlife Sanctuary,Carnivore,Rocky Terrain,Can run at speeds of up to 80 km/h.,No,
Sloth Bear,Bhopal,Thorn Forest,summer,night,Kanha National Park,Herbivore,Dense Trees,Uses its long tongue to extract termites from nests.,No,Near Threatened
One-Horned Rhinoceros,Guwahati,Himalayan Forest,monsoon,morning,Nagarhole National Park,Insectivore,Dense Trees,Has a beautifully patterned shell for camouflage.,No,Near Threatened
Indian Elephant,Kolkata,Thorn Forest,monsoon,afternoon,Bandhavgarh National Park,Insectivore,Caves,Can run at speeds of up to 80 km/h.,No,
King Cobra,Lucknow,Mangrove,monsoon,afternoon,Hemis National Park,Herbivore,Caves,Can leap over 20 feet in a single bound.,No,
Gaur,Ranchi,Thorn Forest,winter,morning,Nagarhole National Park,Carnivore,Water Bodies,Can run at speeds of up to 80 km/h.,No,
Snow Leopard,Shimla,Himalayan Forest,summer,night,Ranthambore National Park,Insectivore,Dense Trees,Recognizable by its golden fur.,No,
Indian Leopard,Delhi,Deciduous Forest,summer,night,Periyar Wildlife Sanctuary,Omnivore,Water Bodies,Survives in extreme cold temperatures.,No,Near Threatened
Red Panda,Guwahati,Mangrove,monsoon,night,Gir Forest,Insectivore,Dense Trees,Recognizable by its golden fur.,No,
Golden Langur,Shimla,Deciduous Forest,monsoon,night,Periyar Wildlife Sanctuary,Carnivore,Caves,The only lion species found outside Africa.,No,
Snow Leopard,Bhopal,Deciduous Forest,winter,night,Hemis National Park,Carnivore,Dense Trees,"Can weigh up to 2,200 kg.",No,
Asiatic Lion,Delhi,Thorn Forest,winter,morning,Sundarbans,Omnivore,Dense Trees,Uses its long tongue to extract termites from nests.,No,Critically Endangered
Asiatic Lion,Hyderabad,Thorn Forest,monsoon,night,Jim Corbett National Park,Omnivore,Caves,Uses its long tongue to extract termites from nests.,No,Critically Endangered
Sloth Bear,Jaipur,Mangrove,monsoon,afternoon,Jim Corbett National Park,Carnivore,Dense Trees,One of the world's most elusive animals.,No,Near Threatened
Gaur,Pune,Deciduous Forest,winter,night,Kanha National Park,Carnivore,Dense Trees,Survives in extreme cold temperatures.,No,
Asiatic Lion,Bhopal,Deciduous Forest,monsoon,afternoon,Bandhavgarh National Park,Insectivore,Grasslands,Recognizable by its golden fur.,No,Critically Endangered
Indian Leopard,Lucknow,Deciduous Forest,monsoon,night,Kanha National Park,Herbivore,Dense Trees,Can communicate using low-frequency rumbles.,No,Near Threatened
Indian Leopard,Shimla,Thorn Forest,summer,night,Nagarhole National Park,Herbivore,Grasslands,One of the world's most elusive animals.,No,Near Threatened
Golden Langur,Bhopal,Thorn Forest,monsoon,night,Bandhavgarh National Park,Carnivore,Dense Trees,Its venom is neurotoxic and highly potent.,No,
Indian Wolf,Chennai,Mangrove,monsoon,afternoon,Jim Corbett National Park,Omnivore,Caves,Can run at speeds of up to 80 km/h.,No,
Indian Elephant,Nagpur,Mangrove,winter,afternoon,Hemis National Park,Herbivore,Dense Trees,Can leap over 20 feet in a single bound.,No,
Snow Leopard,Lucknow,Deciduous Forest,monsoon,afternoon,Bandhavgarh National Park,Carnivore,Burrows,"Hunts in packs, similar to African wild dogs.",No,
King Cobra,Ranchi,Thorn Forest,winter,morning,Kanha National Park,Insectivore,Water Bodies,The only lion species found outside Africa.,No,
Indian Cobra,Kolkata,Himalayan Forest,monsoon,afternoon,Gir Forest,Carnivore,Caves,Can communicate using low-frequency rumbles.,No,
Gaur,Hyderabad,Mangrove,monsoon,night,Sundarbans,Omnivore,Water Bodies,Can run at speeds of up to 80 km/h.,No,
Gaur,Pune,Thorn Forest,winter,afternoon,Kaziranga National Park,Omnivore,Caves,Can run at speeds of up to 80 km/h.,No,
Bengal Tiger,Delhi,Tropical Rainforest,summer,night,Ranthambore National Park,Omnivore,Caves,Has a beautifully patterned shell for camouflage.,No,
King Cobra,Pune,Thorn Forest,winter,morning,Kaziranga National Park,Insectivore,Grasslands,Recognizable by its golden fur.,No,
Snow Leopard,Nagpur,Thorn Forest,summer,night,Kanha National Park,Omnivore,Caves,"Can weigh up to 2,200 kg.",No,
Golden Langur,Delhi,Himalayan Forest,summer,morning,Kaziranga National Park,Carnivore,Rocky Terrain,Recognizable by its golden fur.,No,
Sloth Bear,Ranchi,Tropical Rainforest,summer,morning,Periyar Wildlife Sanctuary,Herbivore,Dense Trees,Largest species of wild cattle.,No,Near Threatened
Indian Leopard,Lucknow,Tropical Rainforest,winter,night,Gir Forest,Omnivore,Burrows,Largest species of wild cattle.,No,Near Threatened
Gaur,Hyderabad,Mangrove,winter,night,Hemis National Park,Herbivore,Water Bodies,The only lion species found outside Africa.,No,
Asiatic Lion,Chennai,Himalayan Forest,monsoon,night,Periyar Wildlife Sanctuary,Omnivore,Dense Trees,"Hunts in packs, similar to African wild dogs.",No,Critically Endangered
King Cobra,Dehradun,Thorn Forest,monsoon,afternoon,Kaziranga National Park,Omnivore,Burrows,Has a beautifully patterned shell for camouflage.,No,
Red Panda,Ranchi,Deciduous Forest,monsoon,afternoon,Hemis National Park,Herbivore,Caves,Can leap over 20 feet in a single bound.,No,
Bengal Tiger,Lucknow,Himalayan Forest,monsoon,night,Kaziranga National Park,Omnivore,Caves,Can communicate using low-frequency rumbles.,No,
Red Panda,Pune,Mangrove,summer,afternoon,Kanha National Park,Insectivore,Burrows,Recognizable by its golden fur.,No,
Gaur,Kolkata,Himalayan Forest,summer,night,Gir Forest,Insectivore,Caves,Survives in extreme cold temperatures.,No,
One-Horned Rhinoceros,Lucknow,Deciduous Forest,monsoon,afternoon,Hemis National Park,Herbivore,Caves,"Can weigh up to 2,200 kg.",No,Near Threatened
Indian Leopard,Bhopal,Thorn Forest,winter,night,Sundarbans,Insectivore,Rocky Terrain,Uses its long tongue to extract termites from nests.,No,Near Threatened
Indian Star Tortoise,Mumbai,Thorn Forest,monsoon,night,Kaziranga National Park,Carnivore,Caves,Can communicate using low-frequency rumbles.,No,
Golden Langur,Nagpur,Himalayan Forest,monsoon,morning,Kaziranga National Park,Herbivore,Burrows,Uses its long tongue to extract termites from nests.,No,
Indian Elephant,Nagpur,Deciduous Forest,monsoon,afternoon,Jim Corbett National Park,Herbivore,Rocky Terrain,Its venom is neurotoxic and highly potent.,No,
Indian Wolf,Ranchi,Mangrove,monsoon,afternoon,Sundarbans,Omnivore,Water Bodies,One of the world's most elusive animals.,No,
One-Horned Rhinoceros,Hyderabad,Mangrove,monsoon,afternoon,Kaziranga National Park,Omnivore,Water Bodies,Its venom is neurotoxic and highly potent.,No,Near Threatened
Snow Leopard,Bhopal,Mangrove,winter,night,Periyar Wildlife Sanctuary,Insectivore,Water Bodies,Largest species of wild cattle.,No,
King Cobra,Ranchi,Deciduous Forest,monsoon,morning,Gir Forest,Insectivore,Grasslands,One of the world's most elusive animals.,No,
Golden Langur,Hyderabad,Deciduous Forest,monsoon,afternoon,Kanha National Park,Insectivore,Burrows,Largest species of wild cattle.,No,
King Cobra,Chennai,Deciduous Forest,winter,afternoon,Nagarhole National Park,Herbivore,Burrows,Uses its long tongue to extract termites from nests.,No,
Blackbuck,Lucknow,Himalayan Forest,summer,night,Jim Corbett National Park,Insectivore,Dense Trees,Recognizable by its golden fur.,No,Least Concern
Sloth Bear,Hyderabad,Mangrove,monsoon,night,Kanha National Park,Herbivore,Rocky Terrain,Largest species of wild cattle.,No,Near Threatened
Indian Star Tortoise,Nagpur,Himalayan Forest,winter,morning,Sundarbans,Insectivore,Grasslands,"Can weigh up to 2,200 kg.",No,
One-Horned Rhinoceros,Bhopal,Mangrove,summer,morning,Sundarbans,Herbivore,Burrows,"Hunts in packs, similar to African wild dogs.",No,Near Threatened
Sloth Bear,Bengaluru,Thorn Forest,winter,morning,Bandhavgarh National Park,Omnivore,Rocky Terrain,The longest venomous snake in the world.,No,Near Threatened
Bengal Tiger,Chennai,Tropical Rainforest,monsoon,night,Kanha National Park,Herbivore,Burrows,Has the strongest bite force among big cats.,No,
One-Horned Rhinoceros,Guwahati,Himalayan Forest,summer,morning,Hemis National Park,Herbivore,Water Bodies,Has a beautifully patterned shell for camouflage.,No,Near Threatened
Indian Leopard,Hyderabad,Himalayan Forest,winter,night,Kaziranga National Park,Herbivore,Dense Trees,"Can weigh up to 2,200 kg.",No,Near Threatened
Indian Cobra,Jaipur,Deciduous Forest,winter,afternoon,Nagarhole National Park,Herbivore,Dense Trees,"Hunts in packs, similar to African wild dogs.",No,
Bengal Tiger,Jaipur,Deciduous Forest,monsoon,night,Jim Corbett National Park,Omnivore,Grasslands,Can run at speeds of up to 80 km/h.,No,
Gaur,Bhopal,Thorn Forest,monsoon,night,Nagarhole National Park,Herbivore,Burrows,Can run at speeds of up to 80 km/h.,No,
Golden Langur,Delhi,Tropical Rainforest,summer,morning,Kanha National Park,Omnivore,Grasslands,Recognizable by its golden fur.,No,
Bengal Tiger,Mumbai,Himalayan Forest,summer,night,Gir Forest,Insectivore,Caves,The longest venomous snake in the world.,No,
Bengal Tiger,Bhopal,Deciduous Forest,monsoon,night,Kaziranga National Park,Herbivore,Dense Trees,Has the strongest bite force among big cats.,No,
One-Horned Rhinoceros,Bengaluru,Mangrove,monsoon,morning,Sundarbans,Insectivore,Water Bodies,Largest species of wild cattle.,No,Near Threatened
Sloth Bear,Pune,Thorn Forest,winter,night,Gir Forest,Carnivore,Burrows,Survives in extreme cold temperatures.,No,Near Threatened
Blackbuck,Ranchi,Thorn Forest,monsoon,night,Bandhavgarh National Park,Herbivore,Water Bodies,Its venom is neurotoxic and highly potent.,No,Least Concern
Blackbuck,Lucknow,Deciduous Forest,monsoon,morning,Kanha National Park,Omnivore,Caves,Has a beautifully patterned shell for camouflage.,No,Least Concern
Golden Langur,Mumbai,Thorn Forest,monsoon,night,Kaziranga National Park,Herbivore,Rocky Terrain,Can run at speeds of up to 80 km/h.,No,
Indian Wolf,Bhopal,Tropical Rainforest,summer,afternoon,Periyar Wildlife Sanctuary,Insectivore,Burrows,Can communicate using low-frequency rumbles.,No,
King Cobra,Bhopal,Deciduous Forest,monsoon,night,Sundarbans,Omnivore,Dense Trees,Survives in extreme cold temperatures.,No,
Sloth Bear,Guwahati,Thorn Forest,winter,night,Kanha National Park,Insectivore,Caves,One of the world's most elusive animals.,No,Near Threatened
Indian Elephant,Bhopal,Mangrove,monsoon,morning,Ranthambore National Park,Carnivore,Water Bodies,Has the strongest bite force among big cats.,No,
Indian Elephant,Ranchi,Mangrove,monsoon,afternoon,Periyar Wildlife Sanctuary,Herbivore,Burrows,The longest venomous snake in the world.,No,
One-Horned Rhinoceros,Bhopal,Mangrove,monsoon,afternoon,Periyar Wildlife Sanctuary,Herbivore,Caves,Largest species of wild cattle.,No,Near Threatened
Red Panda,Kolkata,Thorn Forest,monsoon,afternoon,Gir Forest,Insectivore,Burrows,Recognizable by its golden fur.,No,
Red Panda,Chennai,Himalayan Forest,monsoon,morning,Kaziranga National Park,Omnivore,Water Bodies,The only lion species found outside Africa.,No,
Blackbuck,Bhopal,Thorn Forest,summer,afternoon,Kanha National Park,Carnivore,Rocky Terrain,Largest species of wild cattle.,No,Least Concern
Asiatic Lion,Ranchi,Tropical Rainforest,summer,morning,Ranthambore National Park,Omnivore,Rocky Terrain,Survives in extreme cold temperatures.,No,Critically Endangered
Bengal Tiger,Shimla,Tropical Rainforest,monsoon,night,Kaziranga National Park,Insectivore,Caves,"Hunts in packs, similar to African wild dogs.",No,
Indian Leopard,Bhopal,Himalayan Forest,summer,night,Nagarhole National Park,Herbivore,Grasslands,Largest species of wild cattle.,No,Near Threatened
Blackbuck,Ranchi,Mangrove,monsoon,night,Jim Corbett National Park,Insectivore,Rocky Terrain,The longest venomous snake in the world.,No,Least Concern
Blackbuck,Ranchi,Himalayan Forest,monsoon,morning,Sundarbans,Insectivore,Burrows,Can leap over 20 feet in a single bound.,No,Least Concern
Snow Leopard,Dehradun,Himalayan Forest,monsoon,night,Jim Corbett National Park,Carnivore,Caves,The only lion species found outside Africa.,No,
Blackbuck,Shimla,Himalayan Forest,winter,night,Periyar Wildlife Sanctuary,Herbivore,Burrows,Survives in extreme cold temperatures.,No,Least Concern
One-Horned Rhinoceros,Delhi,Mangrove,monsoon,morning,Ranthambore National Park,Carnivore,Dense Trees,Its venom is neurotoxic and highly potent.,No,Near Threatened
Indian Star Tortoise,Jaipur,Tropical Rainforest,monsoon,night,Gir Forest,Carnivore,Dense Trees,The only lion species found outside Africa.,No,
Indian Elephant,Hyderabad,Tropical Rainforest,winter,morning,Nagarhole National Park,Omnivore,Grasslands,"Can weigh up to 2,200 kg.",No,
King Cobra,Bengaluru,Deciduous Forest,monsoon,night,Kaziranga National Park,Herbivore,Burrows,Can run at speeds of up to 80 km/h.,No,
Indian Wolf,Lucknow,Mangrove,monsoon,night,Periyar Wildlife Sanctuary,Carnivore,Grasslands,Can communicate using low-frequency rumbles.,No,
Blackbuck,Ranchi,Mangrove,summer,morning,Ranthambore National Park,Insectivore,Water Bodies,Survives in extreme cold temperatures.,No,Least Concern
Indian Elephant,Nagpur,Tropical Rainforest,winter,afternoon,Bandhavgarh National Park,Insectivore,Rocky Terrain,Can communicate using low-frequency rumbles.,No,
Bengal Tiger,Mumbai,Mangrove,monsoon,night,Hemis National Park,Herbivore,Rocky Terrain,The longest venomous snake in the world.,No,
Bengal Tiger,Nagpur,Mangrove,monsoon,night,Bandhavgarh National Park,Insectivore,Rocky Terrain,Has the strongest bite force among big cats.,No,
Blackbuck,Pune,Deciduous Forest,winter,afternoon,Sundarbans,Carnivore,Burrows,Recognizable by its golden fur.,No,Least Concern
King Cobra,Ranchi,Tropical Rainforest,winter,morning,Nagarhole National Park,Insectivore,Caves,Its venom is neurotoxic and highly potent.,No,
Indian Star Tortoise,Mumbai,Tropical Rainforest,winter,morning,Kanha National Park,Herbivore,Grasslands,Can run at speeds of up to 80 km/h.,No,
One-Horned Rhinoceros,Chennai,Tropical Rainforest,monsoon,afternoon,Sundarbans,Omnivore,Dense Trees,Can communicate using low-frequency rumbles.,No,Near Threatened
Snow Leopard,Shimla,Thorn Forest,monsoon,night,Periyar Wildlife Sanctuary,Omnivore,Caves,Recognizable by its golden fur.,No,
One-Horned Rhinoceros,Shimla,Thorn Forest,monsoon,night,Kanha National Park,Herbivore,Grasslands,Can communicate using low-frequency rumbles.,No,Near Threatened
Sloth Bear,Delhi,Thorn Forest,monsoon,morning,Hemis National Park,Omnivore,Caves,Uses its long tongue to extract termites from nests.,No,Near Threatened
Asiatic Lion,Lucknow,Himalayan Forest,summer,night,Sundarbans,Omnivore,Water Bodies,Can run at speeds of up to 80 km/h.,No,Critically Endangered
Blackbuck,Pune,Mangrove,winter,afternoon,Kanha National Park,Omnivore,Grasslands,"Can weigh up to 2,200 kg.",No,Least Concern
Indian Leopard,Jaipur,Mangrove,winter,night,Nagarhole National Park,Insectivore,Burrows,"Can weigh up to 2,200 kg.",No,Near Threatened
Snow Leopard,Shimla,Tropical Rainforest,monsoon,afternoon,Bandhavgarh National Park,Carnivore,Caves,Recognizable by its golden fur.,No,
Indian Wolf,Dehradun,Himalayan Forest,monsoon,night,Gir Forest,Herbivore,Grasslands,One of the world's most elusive animals.,No,
