Common Name,Scientific Name,Endemic Status,Conservation Status,Primary Habitat,City,Region,Unique Fact,Season,Most Active Time
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Bhopal,Central India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Winter,Both
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Bangalore,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Winter,Night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Delhi,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Winter,Night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Kolkata,East India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Autumn,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Kolkata,East India,Commonly found near human habitation; known for their adaptability.,Autumn,Day
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bhopal,Central India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Summer,Both
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Bhopal,Central India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Monsoon,Night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Kolkata,East India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Autumn,Both
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Shimla,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Day
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Mumbai,West India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Spring,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Chennai,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Winter,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Hyderabad,South India,Commonly found near human habitation; known for their adaptability.,Monsoon,Both
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Hyderabad,South India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Summer,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Hyderabad,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Hyderabad,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Spring,Night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Delhi,North India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Monsoon,Both
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Guwahati,Northeast India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Monsoon,Both
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Delhi,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Monsoon,Day
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Mumbai,West India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Monsoon,Both
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Shimla,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Monsoon,Day
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Chennai,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Summer,Both
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Guwahati,Northeast India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Autumn,Day
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Bhopal,Central India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Autumn,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Mumbai,West India,Commonly found near human habitation; known for their adaptability.,Spring,Night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Shimla,North India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Summer,Day
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Chennai,South India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Summer,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bhopal,Central India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Spring,Day
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Delhi,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Monsoon,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Shimla,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Spring,Night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Shimla,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Winter,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Shimla,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bangalore,South India,Commonly found near human habitation; known for their adaptability.,Winter,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Chennai,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Day
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Kolkata,East India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Monsoon,Night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Guwahati,Northeast India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Spring,Day
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Kolkata,East India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Summer,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Delhi,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Both
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Shimla,North India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Monsoon,Day
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Chennai,South India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Summer,Night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Shimla,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Monsoon,Both
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bangalore,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Both
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Hyderabad,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Winter,Night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Bhopal,Central India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Winter,Both
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Chennai,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Summer,Night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bhopal,Central India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Summer,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Guwahati,Northeast India,Commonly found near human habitation; known for their adaptability.,Autumn,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Kolkata,East India,Commonly found near human habitation; known for their adaptability.,Summer,Both
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Chennai,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Summer,Day
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Jaipur,West India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Monsoon,Day
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bangalore,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Summer,Day
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bhopal,Central India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Spring,Both
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Bhopal,Central India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Monsoon,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Mumbai,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Autumn,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bhopal,Central India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Winter,Both
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Hyderabad,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Spring,Night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Kolkata,East India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Spring,Night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Bhopal,Central India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Autumn,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Jaipur,West India,Commonly found near human habitation; known for their adaptability.,Summer,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Jaipur,West India,Commonly found near human habitation; known for their adaptability.,Summer,Both
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Chennai,South India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Summer,Day
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Hyderabad,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Autumn,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bhopal,Central India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Winter,Night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Jaipur,West India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Autumn,Both
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Shimla,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Summer,Both
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Shimla,North India,Commonly found near human habitation; known for their adaptability.,Summer,Night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Kolkata,East India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Autumn,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bangalore,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Summer,Day
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Bhopal,Central India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Summer,Both
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Mumbai,West India,Commonly found near human habitation; known for their adaptability.,Winter,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bhopal,Central India,Commonly found near human habitation; known for their adaptability.,Autumn,Both
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Chennai,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Autumn,Night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bhopal,Central India,Commonly found near human habitation; known for their adaptability.,Spring,Night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Kolkata,East India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Autumn,Night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Jaipur,West India,Commonly found near human habitation; known for their adaptability.,Monsoon,Day
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Kolkata,East India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Autumn,Both
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Delhi,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Summer,Day
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Mumbai,West India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Winter,Day
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Hyderabad,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Autumn,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Kolkata,East India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Spring,Night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Mumbai,West India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Autumn,Day
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Delhi,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Spring,Night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Kolkata,East India,Commonly found near human habitation; known for their adaptability.,Monsoon,Both
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Hyderabad,South India,Commonly found near human habitation; known for their adaptability.,Autumn,Night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Bhopal,Central India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Monsoon,Day
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Guwahati,Northeast India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Winter,Day
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Mumbai,West India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Autumn,Both
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Shimla,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Spring,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Chennai,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Summer,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Hyderabad,South India,Commonly found near human habitation; known for their adaptability.,Spring,Both
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Mumbai,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Spring,Both
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Delhi,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Summer,Day
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Guwahati,Northeast India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Monsoon,Both
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Hyderabad,South India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Summer,Night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Jaipur,West India,Commonly found near human habitation; known for their adaptability.,Monsoon,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Kolkata,East India,Commonly found near human habitation; known for their adaptability.,Winter,Both
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Delhi,North India,Commonly found near human habitation; known for their adaptability.,Summer,Day
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Hyderabad,South India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Spring,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Kolkata,East India,Commonly found near human habitation; known for their adaptability.,Autumn,Night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Kolkata,East India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Spring,Both
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Bhopal,Central India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Autumn,Day
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Delhi,North India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Monsoon,Both
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Delhi,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Summer,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Hyderabad,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Both
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Guwahati,Northeast India,Commonly found near human habitation; known for their adaptability.,Monsoon,Night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Kolkata,East India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Winter,Both
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Mumbai,West India,Commonly found near human habitation; known for their adaptability.,Monsoon,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bhopal,Central India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Jaipur,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Summer,Day
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Delhi,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Autumn,Day
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Guwahati,Northeast India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Spring,Both
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Mumbai,West India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Autumn,Night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Delhi,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Autumn,Both
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Hyderabad,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Both
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Guwahati,Northeast India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Monsoon,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bangalore,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Autumn,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Guwahati,Northeast India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Shimla,North India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Spring,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Chennai,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Autumn,Day
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Shimla,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Monsoon,Day
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Mumbai,West India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Summer,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Delhi,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Spring,Both
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bhopal,Central India,Commonly found near human habitation; known for their adaptability.,Monsoon,Night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Bhopal,Central India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Autumn,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Delhi,North India,Commonly found near human habitation; known for their adaptability.,Summer,Both
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Shimla,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Summer,Night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bhopal,Central India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Monsoon,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Kolkata,East India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Spring,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Jaipur,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Both
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Jaipur,West India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Summer,Night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Hyderabad,South India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Monsoon,Day
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Delhi,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Winter,Night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Shimla,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Summer,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Mumbai,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Autumn,Night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bhopal,Central India,Commonly found near human habitation; known for their adaptability.,Winter,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Jaipur,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Winter,Day
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Chennai,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Autumn,Day
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Chennai,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Autumn,Both
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Shimla,North India,Commonly found near human habitation; known for their adaptability.,Spring,Night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Guwahati,Northeast India,Commonly found near human habitation; known for their adaptability.,Monsoon,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Shimla,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bangalore,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Summer,Night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Shimla,North India,Commonly found near human habitation; known for their adaptability.,Winter,Night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Chennai,South India,Commonly found near human habitation; known for their adaptability.,Autumn,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Mumbai,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Winter,Both
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Guwahati,Northeast India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Summer,Day
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Chennai,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Winter,Night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Guwahati,Northeast India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Spring,Day
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Jaipur,West India,Commonly found near human habitation; known for their adaptability.,Spring,Both
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Shimla,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Spring,Night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Delhi,North India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Autumn,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Jaipur,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Summer,Night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Shimla,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Summer,Both
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Hyderabad,South India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Monsoon,Night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bangalore,South India,Commonly found near human habitation; known for their adaptability.,Autumn,Night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Hyderabad,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Monsoon,Night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Shimla,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Spring,Night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Hyderabad,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Autumn,Both
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Hyderabad,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Spring,Night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Shimla,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Winter,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Jaipur,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Both
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Delhi,North India,Commonly found near human habitation; known for their adaptability.,Spring,Both
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Kolkata,East India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,Winter,Night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Kolkata,East India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Summer,Both
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bhopal,Central India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Summer,Night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Delhi,North India,Commonly found near human habitation; known for their adaptability.,Summer,Day
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Guwahati,Northeast India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,Monsoon,Day
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Bangalore,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Spring,Day
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Hyderabad,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",Monsoon,Both
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Shimla,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,Monsoon,Night
